data e hora	media_coef	num_row	accurate	per_i	qtd_dias
 2023-11-11 16:12:48.57617 	0.172800062	10	1	5	11
 2023-11-11 16:17:45.167343 	0.168359668	10	1	5	11
 2023-11-11 16:23:20.228357 	0.173481492	10	1	5	11
 2023-11-11 16:29:47.536045 	0.172368057	10	1	5	11
 2023-11-11 16:35:40.32359 	0.183658954	10	1	6	11
 2023-11-11 16:39:25.851602 	0.180432741	10	1	6	11
 2023-11-11 16:42:55.958747 	0.185309158	10	1	6	11
 2023-11-11 16:47:36.899093 	0.180814986	10	1	6	11
 2023-11-11 16:51:42.464618 	0.185299223	10	1	6	11
 2023-11-11 16:56:49.757754 	0.355022279	10	1	7	11
 2023-11-11 17:00:43.212894 	0.347437257	10	1	7	11
 2023-11-11 17:03:44.904911 	0.353884887	10	1	7	11
 2023-11-11 17:08:47.319294 	0.353975935	10	1	7	11
 2023-11-11 17:13:15.994496 	0.353576861	10	1	7	11
 2023-11-11 17:24:11.827389 	0.246642857	10	1	4	12
 2023-11-11 17:27:55.53481 	0.250270225	10	1	4	12
 2023-11-11 17:33:41.575902 	0.246827725	10	1	4	12
 2023-11-11 17:36:58.284416 	0.251095653	10	1	4	12
 2023-11-11 17:41:32.583418 	0.24689958	10	1	4	12
 2023-11-11 17:45:44.603624 	0.177778424	10	1	5	12
 2023-11-11 17:52:06.875358 	0.171323846	10	1	5	12
 2023-11-11 17:59:15.08096 	0.175167964	10	1	5	12
 2023-11-11 18:05:52.025575 	0.172185338	10	1	5	12
 2023-11-11 18:11:24.920234 	0.172339366	10	1	5	12
 2023-11-11 18:18:00.445027 	0.18404693	10	1	6	12
 2023-11-11 18:22:07.403063 	0.189989457	10	1	6	12
 2023-11-11 18:28:22.84458 	0.187945187	10	1	6	12
 2023-11-11 18:32:59.521037 	0.182334885	10	1	6	12
 2023-11-11 18:36:18.372108 	0.185788216	10	1	6	12
 2023-11-11 18:39:47.884976 	0.35555148	10	1	7	12
 2023-11-11 18:42:58.164669 	0.354278381	10	1	7	12
 2023-11-11 18:46:55.514057 	0.350087959	10	1	7	12
 2023-11-11 18:50:32.502232 	0.350803478	10	1	7	12
 2023-11-11 18:53:38.635022 	0.356381578	10	1	7	12
 2023-11-11 19:04:57.750103 	0.255312573	10	1	4	13
 2023-11-11 19:08:54.937125 	0.256175194	10	1	4	13
 2023-11-11 19:12:21.848729 	0.261241649	10	1	4	13
 2023-11-11 19:18:25.09619 	0.25957008	10	1	4	13
 2023-11-11 19:22:59.566799 	0.25699939	10	1	4	13
 2023-11-11 19:27:10.231114 	0.169099392	10	1	5	13
 2023-11-11 19:31:16.399129 	0.169131115	10	1	5	13
 2023-11-11 19:35:26.821995 	0.173795582	10	1	5	13
 2023-11-11 19:40:31.886986 	0.172587255	10	1	5	13
 2023-11-11 19:46:42.655302 	0.169638105	10	1	5	13
 2023-11-11 19:51:29.040053 	0.186791327	10	1	6	13
 2023-11-11 19:55:22.392474 	0.185316698	10	1	6	13
 2023-11-11 19:59:25.732745 	0.18735036	10	1	6	13
 2023-11-11 20:04:01.42179 	0.187515685	10	1	6	13
 2023-11-11 20:08:38.55941 	0.189174919	10	1	6	13
 2023-11-11 20:13:36.051605 	0.35366007	10	1	7	13
 2023-11-11 20:17:04.757119 	0.355674358	10	1	7	13
 2023-11-11 20:21:32.968367 	0.355840866	10	1	7	13
 2023-11-11 20:25:46.007694 	0.356802939	10	1	7	13
 2023-11-11 20:29:28.034161 	0.350474075	10	1	7	13
 2023-11-11 20:39:38.069489 	0.239555242	10	1	4	14
 2023-11-11 20:43:53.762265 	0.238944447	10	1	4	14
 2023-11-11 20:47:17.236931 	0.239504984	10	1	4	14
 2023-11-11 20:50:26.804462 	0.240057945	10	1	4	14
 2023-11-11 20:55:25.044182 	0.238917358	10	1	4	14
 2023-11-11 20:59:44.510361 	0.173722705	10	1	5	14
 2023-11-11 21:06:26.774052 	0.167091822	10	1	5	14
 2023-11-11 21:10:51.321613 	0.173144686	10	1	5	14
 2023-11-11 21:16:18.995509 	0.16848109	10	1	5	14
 2023-11-11 21:21:27.232406 	0.173930753	10	1	5	14
 2023-11-11 21:26:29.712081 	0.180649659	10	1	6	14
 2023-11-11 21:30:02.354668 	0.177282976	10	1	6	14
 2023-11-11 21:32:07.489356 	0.182031919	10	1	6	14
 2023-11-11 21:35:46.38479 	0.175210864	10	1	6	14
 2023-11-11 21:37:55.714364 	0.181958105	10	1	6	14
 2023-11-11 21:42:16.497986 	0.353770625	10	1	7	14
 2023-11-11 21:46:00.317392 	0.356523289	10	1	7	14
 2023-11-11 21:49:21.716577 	0.35820766	10	1	7	14
 2023-11-11 21:52:56.544008 	0.351922163	10	1	7	14
 2023-11-11 21:57:06.484448 	0.355735956	10	1	7	14
 2023-11-11 22:08:29.460988 	0.243750414	10	1	4	15
 2023-11-11 22:12:20.253123 	0.241577761	10	1	4	15
 2023-11-11 22:15:12.88589 	0.242155232	10	1	4	15
 2023-11-11 22:19:00.087022 	0.243057226	10	1	4	15
 2023-11-11 22:23:59.959068 	0.239410437	10	1	4	15
 2023-11-11 22:27:40.973931 	0.159175769	10	1	5	15
 2023-11-11 22:32:23.341316 	0.161083055	10	1	5	15
 2023-11-11 22:38:12.774764 	0.158447105	10	1	5	15
 2023-11-11 22:43:25.689615 	0.151279572	10	1	5	15
 2023-11-11 22:47:09.01215 	0.157245539	10	1	5	15
 2023-11-11 22:51:19.225571 	0.185118917	10	1	6	15
 2023-11-11 22:55:35.383472 	0.182868988	10	1	6	15
 2023-11-11 22:59:02.783458 	0.181087023	10	1	6	15
 2023-11-11 23:02:35.778191 	0.183542749	10	1	6	15
 2023-11-11 23:05:35.868909 	0.185041696	10	1	6	15
 2023-11-11 23:09:40.8888 	0.355828524	10	1	7	15
 2023-11-11 23:13:50.324807 	0.351687188	10	1	7	15
 2023-11-11 23:17:13.193375 	0.35803861	10	1	7	15
 2023-11-11 23:22:01.239821 	0.350265808	10	1	7	15
 2023-11-11 23:25:23.314831 	0.356833932	10	1	7	15
 2023-11-11 23:35:59.079315 	0.232033145	10	1	4	16
 2023-11-11 23:39:54.718107 	0.236356122	10	1	4	16
 2023-11-11 23:43:33.825359 	0.23900704	10	1	4	16
 2023-11-11 23:47:40.443106 	0.237519545	10	1	4	16
 2023-11-11 23:51:56.863815 	0.23530888	10	1	4	16
 2023-11-11 23:55:28.754207 	0.161615934	10	1	5	16
 2023-11-12 00:01:30.374727 	0.157142577	10	1	5	16
 2023-11-12 00:06:18.542949 	0.156457917	10	1	5	16
 2023-11-12 00:10:56.905285 	0.154139303	10	1	5	16
 2023-11-12 00:14:27.824725 	0.155809583	10	1	5	16
 2023-11-12 00:18:45.296506 	0.184841285	10	1	6	16
 2023-11-12 00:22:56.331222 	0.187211679	10	1	6	16
 2023-11-12 00:26:20.734296 	0.190032196	10	1	6	16
 2023-11-12 00:30:30.245689 	0.190046579	10	1	6	16
 2023-11-12 00:35:11.307099 	0.18952676	10	1	6	16
 2023-11-12 00:40:16.4956 	0.357830327	10	1	7	16
 2023-11-12 00:44:12.586151 	0.354716718	10	1	7	16
 2023-11-12 00:48:43.959877 	0.357701653	10	1	7	16
 2023-11-12 00:53:37.237135 	0.350251737	10	1	7	16
 2023-11-12 00:56:54.694153 	0.353343986	10	1	7	16
 2023-11-12 01:07:18.337818 	0.230044959	10	1	4	17
 2023-11-12 01:11:10.453301 	0.231651676	10	1	4	17
 2023-11-12 01:15:42.83689 	0.228110028	10	1	4	17
 2023-11-12 01:19:42.533513 	0.231411981	10	1	4	17
 2023-11-12 01:24:15.90751 	0.229460151	10	1	4	17
